155_98_RESOLUTION_FILE_NUMBER	Número de legajo resolución 155/98
ACCELERATION_MODE	Modo de aceleración
ACCEPTED_PAINT_TYPES	Tipos de pintura aceptados
ACCESSORIES_INCLUDED	Accesorios incluidos
ACCESSORIES_NUMBER	Cantidad de accesorios
ACTION_FIGURE_GAME_TYPE	Tipo de juego
ACTION_FIGURE_NUMBER	Número de la figura de acción
ACTION_RADIUS	Radio de acción
ADDITIONAL_BLADES_NUMBER	Cantidad de cuchillas adicionales
ADDITIONAL_CLEANING_FUNCTIONS	Funciones adicionales de limpieza
ADDITIONAL_FEATURES	Características adicionales
ADDITIONAL_FUNCTIONS	Funciones adicionales
ADDITIONAL_INFO_REQUIRED	Información adicional requerida
ADHESION_TYPE	Tipo de adhesión
ADJUSTABLE_STITCH_LENGTH	Largo de puntada ajustable
ADJUSTABLE_STITCH_WIDTH	Ancho de puntada ajustable
ADJUSTMENT_TYPE	Tipo de ajuste
ADJUSTMENT_TYPES	Tipos de ajuste
AFE_CERTIFICATION_NUMBER	Número de certificado de la AFE
AGE_GROUP	Edad
AGE_GROUPS	Edades
AGE_PERIOD	Período de edad
AGID	AGID
AIRFLOW	Caudal de aire
AIR_COMPRESSOR_HEIGHT	Altura del compresor de aire
AIR_COMPRESSOR_LENGTH	Largo del compresor de aire
AIR_COMPRESSOR_STAGES_NUMBER	Cantidad de etapas del compresor de aire
AIR_COMPRESSOR_WEIGHT	Peso del compresor de aire
AIR_COMPRESSOR_WIDTH	Ancho del compresor de aire
AIR_CONNECTION_TYPE	Tipo de conexión de aire
AIR_ENTRANCE	Entrada de aire
AIR_FLOW	Flujo de aire
ALARMS_NUMBER	Cantidad de alarmas
ALARM_TYPES	Tipos de alarma
ALPHANUMERIC_MODEL	Modelo alfanumérico
ALPHANUMERIC_MODELS	Modelo alfanumérico
ALTERNATOR_VOLTAGE	Voltaje del alternador
AMBIENTS	Ambientes
AMPERAGE	Amperaje
AMPERAGE_OUTPUT	Amperaje de salida
AMPERAGE_RATING	Rango de amperaje
ANALOG_INPUTS_NUMBER	Cantidad de entradas análogas
ANATEL_HOMOLOGATION_LABEL	Etiqueta de homologación de Anatel
ANATEL_HOMOLOGATION_NUMBER	Homologación Anatel Nº
ANCHORAGE_SYSTEMS	Sistemas de anclaje
ANMAT_HABILITATION_NUMBER	Número de habilitación de ANMAT
ANTENNA_TYPE	Tipo de antena
ANVISA_PRIOR_NOTIFICATION_COMMUNICATION_DOCUMENT_NUMBER	Número del documento de Notificación/Comunicación previa en Anvisa
ANVISA_PRODUCT_REGISTRATION_NUMBER	Número de registro de producto en Anvisa
APERTURE	Apertura
APPLICATION_MATERIALS	Materiales de aplicación
APPLICATION_ZONES	Zonas de aplicación
APPROVAL_CERTIFICATION_NUMBER	Número de certificado de conformidad
APT_MATERIALS	Materiales aptos
APT_SURFACES	Superficies aptas
ARTICULATION_POINTS_NUMBER	Cantidad de puntos de articulación
ASSEMBLY_ACCESSORIES_INCLUDED	Accesorios de ensamblado incluidos
ASSEMBLY_TIME	Tiempo de ensamblado
ASSEMBLY_TYPE	Tipo de ensamblaje
ATTACHMENT_TYPE	Tipo de anclaje
AUDIO_FORMATS	Formatos de audio
AUTOFOCUS_MODES	Modos de autofoco
AUTOLEVELING_RANGE	Intervalo de autonivelación
AVAILABLE_FORMATS	Formatos disponibles
AV_INPUT_OUTPUT	Entrada y salida AV
AXIS_TYPE	Tipo de eje
BABYDOLL_SIZE	Talla del babydoll
BABY_BOTTLES_NUMBER	Cantidad de biberones
BABY_BOTTLE_NIPPLES_NUMBER	Cantidad de tetinas
BABY_CAR_SEAT_GROUPS	Grupos
BABY_CHANGING_PAD_ACCESSORIES	Accesorios incluidos
BABY_CHANGING_PAD_MATERIAL	Material del cambiador
BABY_CHANGING_PAD_TYPE	Tipo de cambiador
BABY_HIGH_CHAIR_TYPE	Tipo de la silla
BACKLIGHT_COLOR	Color de la luz de fondo
BACKPACK_CAPACITY	Capacidad de la mochila
BACKPACK_MATERIALS	Materiales
BACKPACK_TYPE	Tipo de mochila
BACKREST_TYPE	Tipo de respaldo
BACKUP_BATTERY_CAPACITY	Capacidad de la batería de respaldo
BACKUP_BATTERY_TYPE	Tipo de batería de respaldo
BAG_MATERIALS	Materiales de la bolsa
BAG_TYPE	Tipo de bolsa
BAKING_PLATES_MATERIAL	Material de las placas de cocción
BALLOON_SHAPE	Forma del globo
BANDWIDTH	Ancho de banda
BARLOW_LENS	Lente barlow
BARRIER_ARM_LENGTH	Largo de la barra
BARRIER_ARM_MATERIAL	Material de la barra
BAR_MATERIAL	Material de la barra
BASE_HEIGHT	Alto de la base
BASE_MATERIAL	Material de la base
BASE_MATERIALS	Materiales de la base
BASE_PLATE_DIAMETER	Diámetro del disco
BASE_SHAPE	Forma de la base
BASE_WIDTH	Ancho de la base
BASKETS_NUMBER	Cantidad de canastos
BASKET_MATERIAL	Material de la cesta
BATHROOM_VANITY_FAUCET_HOLES_NUMBER	Cantidad de agujeros para llave
